legal company name,legal company short code ,legal company pg number,itsm tool name,id itsm tool,secondlevelsupport Itsm tool,thirdlevelsuppert Itsm tool,asset type,ip address,fqdn,hardware name,hwSourceSystem,operating system & version,asset criticality,business service name itsm tool,asset manufacturer,asset model,timezone,system environment,asset lifecycle status,hardware contact name & email adress,IT provider name,data center name,data center city,data center country,application name,applicationID ,application confidentiality,application integrity,application availability,application pci scope,application vulnerability scan frequency,application internet exposure,application legal criticality ,application contact  e-mail address,application contact phone
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.81.198,lidozrhv98.lidozrh.ch,lidozrhv98,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Hermes Applications,APP-20360,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,team Product/ownership,team Product/ownership,virtual server,10.237.81.187,lidozrhv87.lidozrh.ch,lidozrhv87,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.199,lidozrhv99.lidozrh.ch,lidozrhv99,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.215,lidozrhv204.lidozrh.ch,lidozrhv204,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware20,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.216,lidozrhv205.lidozrh.ch,lidozrhv205,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,pausanias@lhsystems.com,pausanias@lhsystems.com,virtual server,10.237.81.213,lidozrhv185.lidozrh.ch,lidozrhv185,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.193,lidozrhv93.lidozrh.ch,lidozrhv93,VMware Virtual Platform,Microsoft Windows Server 2022 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,nav-data.standards@lhsystems.com,nav-data.standards@lhsystems.com,virtual server,10.237.81.211,lidozrhv183.lidozrh.ch,lidozrhv183,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.230,lidozrhv110.lidozrh.ch,lidozrhv110,VMware Virtual Platform,Microsoft Windows Server 2022 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,pausanias@lhsystems.com,pausanias@lhsystems.com,virtual server,10.237.81.236,lidozrhv116.lidozrh.ch,lidozrhv116,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.242,lidozrhv142.lidozrh.ch,lidozrhv142,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,pausanias@lhsystems.com,pausanias@lhsystems.com,virtual server,10.237.81.246,lidozrhv146.lidozrh.ch,lidozrhv146,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.81.229,lidozrhv109.lidozrh.ch,lidozrhv109,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Hermes Applications,APP-20360,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,pausanias@lhsystems.com,pausanias@lhsystems.com,virtual server,10.237.81.237,lidozrhv117.lidozrh.ch,lidozrhv117,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.81.245,lidozrhv145.lidozrh.ch,lidozrhv145,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Hermes Applications,APP-20360,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.81.244,lidozrhv144.lidozrh.ch,lidozrhv144,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.89.28,lidozrhv188.lidozrh.ch,lidozrhv188,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Kairos Application,APP-20390,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.89.8,lidozrhv201.lidozrh.ch,lidozrhv201,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Active Directory (LIDOZRH),APP-17974,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.89.24,lidozrhv24.lidozrh.ch,lidozrhv24,VMware Virtual Platform,Microsoft Windows Server 2016 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Hermes Applications,APP-20360,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.89.27,lidozrhv187.lidozrh.ch,lidozrhv187,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Kairos Application,APP-20390,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.89.26,lidozrhv186.lidozrh.ch,lidozrhv186,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Kairos Application,APP-20390,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.goat-data@lhsystems.com,lido.scrum.goat-data@lhsystems.com,virtual server,10.237.89.48,lidozrhv48.lidozrh.ch,lidozrhv48,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,lido.scrum.logistics@lhsystems.com,lido.scrum.logistics@lhsystems.com,virtual server,10.237.89.29,lidozrhv189.lidozrh.ch,lidozrhv189,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,LSYFN Kairos Application,APP-20390,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,team Product/ownership,team Product/ownership,virtual server,10.237.89.42,lidozrhv42.lidozrh.ch,lidozrhv42,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.","VMware7,1",Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
Lufthansa Systems FlightNav AG,LSY FN,678,Quest KACE,,it_zrh@lhsystems.com,it_zrh@lhsystems.com,virtual server,10.237.89.25,lidozrhv25.lidozrh.ch,lidozrhv25,VMware Virtual Platform,Microsoft Windows Server 2019 Standard x64,,Quest KACE,"VMware, Inc.",VMware Virtual Platform,Europe/Berlin,Prod,active,it_zrh@lhsystems.com,LSYFN IT Infrastructure,LSYFN Atlas Edge (Nugolo),ZRH,CH,,,,,,,,,,,
